,AXISBANK,BANKBARODA,HDFCBANK,ICICIBANK,PNB,SBI
34,-1.2155258683161179,-1.6344355545579259,-0.9678525943304879,-1.583079367726642,-1.9012545315703442,-1.7085457266542492
35,-1.2158197179373198,-1.6351296987140804,-0.9676275732691422,-1.5798010858942657,-1.8990081873371474,-1.7083900427194914
36,-1.2154768933792508,-1.6353032347531191,-0.9674507710066561,-1.5815362101510653,-1.8967618431039501,-1.7078210289016085
37,-1.2156727931267188,-1.6356503068311963,-0.9681419071236468,-1.5809581889285986,-1.8984898002064095,-1.7080797712157134
38,-1.2151830437580489,-1.6377327392996601,-0.9682865635202262,-1.5826933131853982,-1.9005633487293603,-1.7068386852006012
39,-1.215036118947448,-1.6353032347531191,-0.9681097612577403,-1.5731480085942027,-1.8971074345244423,-1.7065799428864967
40,-1.2142525199575758,-1.634782626636003,-0.9678204484645814,-1.5731480085942027,-1.8981442087859177,-1.7052347021263
41,-1.2142035450207087,-1.6353032347531191,-0.9679972507270673,-1.572376960101114,-1.9000449615986226,-1.7063212005723918
42,-1.2147422693262457,-1.6351296987140804,-0.9679972507270673,-1.5733410358648248,-1.9021185101215736,-1.705597599185489
43,-1.2155258683161179,-1.6353032347531191,-0.9677561567327684,-1.5740155707226022,-1.9026368972523113,-1.7051831729366265
44,-1.2154768933792508,-1.6335678743627324,-0.968093688324787,-1.5649528343079617,-1.9009089401498522,-1.6966490620341246
45,-1.2149871440105808,-1.6356503068311963,-0.9679811777941141,-1.5675565812825603,-1.9014273272805902,-1.7005280040142183
46,-1.2143014948944428,-1.6403357798852398,-0.9679490319282076,-1.5711233434314702,-1.9041920586445247,-1.7033215439139586
47,-1.2144484197050438,-1.6408563880023557,-0.9670328747498712,-1.5730525555482906,-1.9047104457752624,-1.7027010009064025
48,-1.2144484197050438,-1.6412034600804333,-0.9673382604759834,-1.5716059116080252,-1.9055744243264918,-1.7033215439139586
49,-1.2147912442631128,-1.643632964626974,-0.9677400837998151,-1.5663029646129165,-1.9062656071674757,-1.7029082140308338
50,-1.2148891941368467,-1.6460624691735155,-0.9679329589952543,-1.5692917055393598,-1.9083391556904266,-1.7050285853676064
51,-1.2498083241230176,-1.8140453549629278,-1.0354553503319375,-1.8418631810879422,-2.0586714236043715,-1.9463123714646102
52,-1.2147912442631128,-1.6479713656029402,-0.9671132394146377,-1.5641817858148728,-1.905747220036738,-1.7052347021263
53,-1.2146443194525118,-1.6481449016419791,-0.9668560724873854,-1.5641817858148728,-1.905747220036738,-1.7006836879489764
54,-1.2147912442631128,-1.6474507574858246,-0.966422103297647,-1.5655308555304286,-1.903673671513787,-1.704821372243175
55,-1.2155258683161179,-1.649186117876211,-0.966052425839722,-1.5665925055188494,-1.9019457144113279,-1.7081313004053866
56,-1.2154279184423837,-1.649706725993327,-0.9638825798910305,-1.5646632934020288,-1.9043648543547704,-1.7071489567043792
57,-1.2155258683161179,-1.6507479422275588,-0.9631753708410866,-1.5635072509570953,-1.9059200157469838,-1.7082869843401447
58,-1.2154279184423837,-1.653698054891216,-0.9647022994716473,-1.560035941854097,-1.9059200157469838,-1.708338513529818
59,-1.2151340688211818,-1.652656838656984,-0.9647022994716473,-1.5702557813030702,-1.905228832906,-1.7087003142232695
60,-1.2152320186949157,-1.6550863432035252,-0.9647665912034603,-1.575751755568801,-1.9048832414855081,-1.7085457266542492
61,-1.215036118947448,-1.6587306000233366,-0.9657791859795163,-1.5742085979932243,-1.9067839942982134,-1.7067356268212543
62,-1.2153789435055167,-1.6592512081404527,-0.9679811777941141,-1.5776799070962224,-1.9062656071674757,-1.706528413696823
63,-1.2152809936317828,-1.6594247441794914,-0.9681097612577403,-1.5808616752932876,-1.9071295857187052,-1.7073035442733995
64,-1.2144484197050438,-1.6594247441794914,-0.9644772784103015,-1.575751755568801,-1.9041920586445247,-1.7073035442733995
65,-1.2138117455257729,-1.6594247441794914,-0.9651844874602453,-1.5713163707020923,-1.9048832414855081,-1.708494197464576
66,-1.2142525199575758,-1.660118888335646,-0.9674186251407496,-1.5625421146039855,-1.905228832906,-1.7087518434129427
67,-1.2498083241230176,-1.8140453549629278,-1.0354553503319375,-1.8418631810879422,-2.0586714236043715,-1.9463123714646102
68,-1.2143994447681767,-1.6604659604137233,-0.9680293965929738,-1.567845061599094,-1.9060928114572298,-1.7081313004053866
69,-1.2144973946419106,-1.6616807126869937,-0.9679168860623011,-1.5654354024845165,-1.907302381428951,-1.708235455150471
70,-1.2145953445156448,-1.660986568530839,-0.9682383447213664,-1.5657238828010505,-1.907302381428951,-1.7068902143902744
71,-1.2143994447681767,-1.6564746315158343,-0.9682383447213664,-1.5747876798050902,-1.9079935642699348,-1.7056491283751625
72,-1.2144973946419106,-1.6543921990473704,-0.968511584581572,-1.5782589889080882,-1.9107582956338693,-1.7069932727696215
73,-1.2144973946419106,-1.6554334152816024,-0.9691223560337963,-1.5813442434698424,-1.911276682764607,-1.708235455150471
74,-1.2144973946419106,-1.6552598792425637,-0.9690098455031233,-1.5759447828394229,-1.9180157154641977,-1.708235455150471
75,-1.214546369578778,-1.6554334152816024,-0.9686080221792915,-1.5745946525344683,-1.9171517369129683,-1.708338513529818
76,-1.2498083241230176,-1.8140453549629278,-1.0354553503319375,-1.8418631810879422,-2.0586714236043715,-1.9463123714646102
77,-1.214546369578778,-1.6559540233987182,-0.9697813462848802,-1.5763297767912676,-1.9152509841002632,-1.7082869843401447
78,-1.214546369578778,-1.6554334152816024,-0.9712761290495343,-1.5782589889080882,-1.9159421669412466,-1.7070458983250325
79,-1.2144484197050438,-1.654218663008332,-0.9724173072892164,-1.5920455905059718,-1.915596575520755,-1.7065799428864967
80,-1.2144973946419106,-1.654218663008332,-0.9719994110324314,-1.5892498768501504,-1.9147325969695255,-1.7047183138638284
81,-1.214546369578778,-1.6547392711254478,-0.9723047967585435,-1.5968670299139245,-1.915596575520755,-1.7057006575648357
